from,to,type,details
class_AccountCallOutServiceHelper,field_ManageUsersOrgSettings__c_LoginURL__c,ACCESSES_FIELD,Accesses field LoginURL__c on ManageUsersOrgSettings__c
class_AccountCallOutServiceHelper,class_EncodingUtil,CALLS_METHOD,Calls method base64Encode
class_AccountCallOutServiceHelper,webservice_https___login.salesforce.com_services_oauth2_token,CALLS_WEBSERVICE,Makes HTTP callout to https://login.salesforce.com/services/oauth2/token
class_AccountCallOutServiceHelper,webservice_https___dynegy--raghudev.sandbox.my.salesforce.com_services_oauth2_token,CALLS_WEBSERVICE,Makes HTTP callout to https://dynegy--raghudev.sandbox.my.salesforce.com/services/oauth2/token
class_AccountEmailHelper,emailtemplate_Messaging.sendEmail,USES_EMAIL_TEMPLATE,Uses email template for messaging
class_AccountEmailHelper,emailtemplate_Messaging.SingleEmailMessage,USES_EMAIL_TEMPLATE,Uses email template for messaging
class_AccountHandler,object_conList,USES_OBJECT,References object in SOQL/DML operations
class_AccountHandler,object_Id,USES_OBJECT,References object in SOQL/DML operations
class_AccountHandler,object_accRecord,USES_OBJECT,References object in SOQL/DML operations
class_AccountHandler,object_Account,USES_OBJECT,References object in SOQL/DML operations
class_AccountHandler,object_old,USES_OBJECT,References object in SOQL/DML operations
class_AccountHandler,object_new,USES_OBJECT,References object in SOQL/DML operations
class_AccountHandler,object_do,USES_OBJECT,References object in SOQL/DML operations
class_AccountHandler,object_Contact,USES_OBJECT,References object in SOQL/DML operations
class_AccountHandler,object_ID,USES_OBJECT,References object in SOQL/DML operations
class_AccountHandler,class_Contact,DEPENDS_ON_CLASS,Calls methods or instantiates class
class_AccountHandler,class_AnimalCallOutService,DEPENDS_ON_CLASS,Calls methods or instantiates class
class_AccountHandler,class_AnimalCallOutService,CALLS_METHOD,Calls method getAnimalDetailsForAccount
class_AccountHandlerTest,object_acc,USES_OBJECT,References object in SOQL/DML operations
class_AccountHandlerTest,object_Account,USES_OBJECT,References object in SOQL/DML operations
class_AccountHandlerTest,class_Account,DEPENDS_ON_CLASS,Calls methods or instantiates class
class_AccountHandlerTest,field_Account_Industry,ACCESSES_FIELD,Accesses field Industry on Account
object_Account,trigger_AccountTrigger,HAS_TRIGGER,"Trigger events: before insert, before update, after insert, after update"
trigger_AccountTrigger,class_AccountHandler,DELEGATES_TO_HANDLER,Trigger delegates business logic to handler class
trigger_AccountTrigger,object_UI,AFFECTS_OBJECT,Trigger performs operations on UI
trigger_AccountTrigger,object_sceario,AFFECTS_OBJECT,Trigger performs operations on sceario
trigger_AccountTrigger,object_Integer,AFFECTS_OBJECT,Trigger performs operations on Integer
object_Account,workflow_Account,HAS_WORKFLOW,
